base_model,exp,seed,wandb_url,hf_repo_url,hf_repo_id,revision
EleutherAI/pythia-2.8b-deduped,reward,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/m94qlmen,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr/tree/reward__77713__1708628552,vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr,reward__77713__1708628552
EleutherAI/pythia-1b-deduped,reward,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/s5tanswd,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr/tree/reward__66613__1708628551,vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr,reward__66613__1708628551
EleutherAI/pythia-1b-deduped,reward,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/bocab5vs,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr/tree/reward__55513__1708628552,vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr,reward__55513__1708628552
EleutherAI/pythia-1b-deduped,reward,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/z6v2q8nx,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr/tree/reward__44413__1708628552,vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr,reward__44413__1708628552
EleutherAI/pythia-6.9b-deduped,ppo_left_padding_new_nowhiten_reward,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/g6co0hel,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__77713__1710465193,vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__77713__1710465193
EleutherAI/pythia-6.9b-deduped,ppo_left_padding_new_nowhiten_reward,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/kvdfazmz,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__66613__1710465193,vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__66613__1710465193
EleutherAI/pythia-6.9b-deduped,ppo_left_padding_new_nowhiten_reward,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/vou23bja,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__55513__1710465193,vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__55513__1710465193
EleutherAI/pythia-6.9b-deduped,ppo_left_padding_new_nowhiten_reward,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/1lpwnykt,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__44413__1710465193,vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__44413__1710465193
EleutherAI/pythia-2.8b-deduped,ppo_left_padding_new_nowhiten_reward,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/4ao2gn7n,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__77713__1710356835,vwxyzjn/EleutherAI_pythia-2.8b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__77713__1710356835
EleutherAI/pythia-2.8b-deduped,ppo_left_padding_new_nowhiten_reward,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/8sr72pr9,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__66613__1710356835,vwxyzjn/EleutherAI_pythia-2.8b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__66613__1710356835
EleutherAI/pythia-2.8b-deduped,ppo_left_padding_new_nowhiten_reward,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/9f6t868e,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__55513__1710356835,vwxyzjn/EleutherAI_pythia-2.8b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__55513__1710356835
EleutherAI/pythia-2.8b-deduped,ppo_left_padding_new_nowhiten_reward,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/cfmzft10,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__44413__1710356835,vwxyzjn/EleutherAI_pythia-2.8b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__44413__1710356835
EleutherAI/pythia-1b-deduped,ppo_left_padding_new_nowhiten_reward,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/pevomb70,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__55513__1709671967,vwxyzjn/EleutherAI_pythia-1b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__55513__1709671967
EleutherAI/pythia-1b-deduped,ppo_left_padding_new_nowhiten_reward,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/d3xlyf1z,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__66613__1709671965,vwxyzjn/EleutherAI_pythia-1b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__66613__1709671965
EleutherAI/pythia-1b-deduped,ppo_left_padding_new_nowhiten_reward,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/ajthk918,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__44413__1709671965,vwxyzjn/EleutherAI_pythia-1b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__44413__1709671965
EleutherAI/pythia-1b-deduped,ppo_left_padding_new_nowhiten_reward,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/rabqw1p3,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__77713__1709671965,vwxyzjn/EleutherAI_pythia-1b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__77713__1709671965
EleutherAI/pythia-6.9b-deduped,dpo,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/h4kyra7u,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__dpo__tldr/tree/dpo__55513__1707405254,vwxyzjn/EleutherAI_pythia-6.9b-deduped__dpo__tldr,dpo__55513__1707405254
